"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Canadian government finance statistics for the provincial and territorial governments",10100017,385-0034,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1010001701",1;2;3;4,"CURRENT - a cube available to the public and that is current",Annual,2007-01-01,2017-01-01,4

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,3,
2,"Public sector components",,
3,"Display value",5,
4,"Statement of operations and balance sheet",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"Newfoundland and Labrador",[10],1,,,,
1,"Prince Edward Island",[11],2,,,,
1,"Nova Scotia",[12],3,,,,
1,"New Brunswick",[13],4,,,,
1,Quebec,[24],5,,,,
1,Ontario,[35],6,,,,
1,Manitoba,[46],7,,,,
1,Saskatchewan,[47],8,,,,
1,Alberta,[48],9,,,,
1,"British Columbia",[59],10,,,,
1,Yukon,[60],11,,,,
1,"Northwest Territories",[61],12,,,,
1,Nunavut,[62],13,,,,
2,"Provincial and territorial governments",,1,,,,
3,Stocks,,1,,,,
3,"Transactions and other economic flows",,2,,,,
4,"Gross operating balance",,1,,,18,
4,"Net operating balance",,2,,,,
4,Revenue,[1],3,2,,,
4,Taxes,[11],4,3,,,
4,"Taxes on income, profits and capital gains",[111],5,4,,,
4,"Taxes on income, profits and capital gains payable by individuals",[1111],6,5,,,
4,"Taxes on income, profits and capital gains payable by corporations and other enterprises",[1112],7,5,,,
4,"Taxes on income, profits and capital gains payable by nonresidents",[1113],8,5,,,
4,"Taxes on payroll and workforce",[112],9,4,,,
4,"Taxes on property",[113],10,4,,7,
4,"Taxes on goods and services",[114],11,4,,,
4,"General taxes on goods and services",[1141],12,11,,,
4,Excises,[1142],13,11,,,
4,"Liquor taxes",[1142],14,13,,,
4,"Tobacco taxes",[1142],15,13,,,
4,"Gasoline and motive fuel taxes",[1142],16,13,,,
4,"Other excise taxes",[1142],17,13,,,
4,"Profits of fiscal monopolies",[1143],18,11,,8,
4,"Remitted liquor profits",[1143],19,18,,,
4,"Remitted profits on games of chance and other",[1143],20,18,,,
4,"Taxes on specific services",[1144],21,11,,9,
4,"Taxes on use of goods and on permission to use goods or perform activities",[1145],22,11,,,
4,"Motor vehicle taxes",[11451],23,22,,,
4,"Other taxes on use of goods and on permission to use goods or perform activities",[11452],24,22,,,
4,"Other taxes on goods and services",[1146],25,11,,,
4,"Other taxes","[115, 116]",26,4,,,
4,"Social contributions",[12],27,3,,,
4,"Social security contributions",[121],28,27,,,
4,"Contributions to workers' compensation boards",[1212],29,28,,,
4,"Other social security contributions","[1211, 1212, 1213, 1214]",30,28,,,
4,"Other social contributions",[122],31,27,,,
4,"Grants, revenue",[13],32,3,,,
4,"Grants from foreign governments and international governmental organizations","[131, 132]",33,32,,,
4,"Grants from general government units","[133, 134]",34,32,,,
4,"Other revenue",[14],35,3,,,
4,"Property income",[141],36,35,,,
4,"Interest revenue",[1411],37,36,,,
4,Dividends,"[1412, 1413, 1414]",38,36,,,
4,Rent,[1415],39,36,,10,
4,"Oil and gas royalties",[1415],40,39,,,
4,"Forestry royalties",[1415],41,39,,,
4,"Mineral royalties",[1415],42,39,,11,
4,"Water power royalties",[1415],43,39,,,
4,"Other rent and property income","[1415, 1416]",44,39,,12,
4,"Sales of goods and services",[142],45,35,,,
4,"Administrative fees",[1422],46,45,,,
4,"Other sales of goods and services","[1421, 1423, 1424]",47,45,,,
4,"Fines, penalties and forfeits",[143],48,35,,,
4,"Voluntary transfers other than grants",[144],49,35,,,
4,"Miscellaneous revenue",[145],50,35,,13,
4,Expense,[2],51,2,,,
4,"Compensation of employees",[21],52,51,,14,
4,"Use of goods and services",[22],53,51,,14,
4,"Consumption of fixed capital",[23],54,51,,15,
4,"Interest expense",[24],55,51,,,
4,Subsidies,[25],56,51,,,
4,"Subsidies to government business enterprises",[251],57,56,,,
4,"Subsidies to private enterprises",[252],58,56,,,
4,"Agricultural subsidies to private enterprises",[2521],59,58,,,
4,"Other subsidies to private enterprises on products","[2521, 2522]",60,58,,,
